delta,val,tare
27636,8297957,270321
7947,8278268,270321
-6203,8264118,270321
-13542,8256779,270321
-20322,8249999,270321
-11793,8258528,270321
5710,8276031,270321
30189,8300510,270321
31880,8302201,270321
256,8270577,270321
-30043,8240278,270321
-35926,8234395,270321
-17823,8252498,270321
12509,8282830,270321
30099,8300420,270321
20770,8291091,270321
-24688,8245633,270321
-24033,8246288,270321
6541,8276862,270321
31339,8301660,270321
13931,8284252,270321
-18586,8251735,270321
-25471,8244850,270321
-5711,8264610,270321
7317,8277638,270321
1999,8272320,270321
-280,8270041,270321
33,8270354,270321
-25,8270296,270321
-4,8270317,270321
12,8270333,270321
21,8270342,270321
9,8270330,270321
27,8270348,270321
59,8270380,270321
-4,8270317,270321
-18,8270303,270321
-81,8270240,270321
-101,8270220,270321
-61,8270260,270321
-14,8270307,270321
-18,8270303,270321
-2,8270319,270321
-19,8270302,270321
-26,8270295,270321
-9,8270312,270321
-39,8270282,270321
-13,8270308,270321
6,8270327,270321
50,8270371,270321
8,8270329,270321
-1,8270320,270321
-43,8270278,270321
-41,8270280,270321
12,8270333,270321
33,8270354,270321
-48,8270273,270321
-11,8270310,270321
40,8270361,270321
-33,8270288,270321
-20,8270301,270321
-4,8270317,270321
2,8270323,270321
-56,8270265,270321
-4,8270317,270321
-55,8270266,270321
-50,8270271,270321
-3,8270318,270321
25,8270346,270321
-4,8270317,270321
-52,8270269,270321
33,8270354,270321
6,8270327,270321
-92,8270229,270321
-42,8270279,270321
-57,8270264,270321
-79,8270242,270321
-139,8270182,270321
-108,8270213,270321
-86,8270235,270321
-139,8270182,270321
-77,8270244,270321
-51,8270270,270321
-84,8270237,270321
-126,8270195,270321
-84,8270237,270321
-65,8270256,270321
-43,8270278,270321
-47,8270274,270321
-123,8270198,270321
-48,8270273,270321
-60,8270261,270321
-124,8270197,270321
-86,8270235,270321
-61,8270260,270321
-33,8270288,270321
-27,8270294,270321
-80,8270241,270321
-110,8270211,270321
-76,8270245,270321
-97,8270224,270321
-89,8270232,270321
-78,8270243,270321
-46,8270275,270321
-101,8270220,270321
-112,8270209,270321
-118,8270203,270321
-99,8270222,270321
-84,8270237,270321
-112,8270209,270321
-118,8270203,270321
-40,8270281,270321
-66,8270255,270321
-22,8270299,270321
-9,8270312,270321
-48,8270273,270321
-22,8270299,270321
-40,8270281,270321
-60,8270261,270321
-79,8270242,270321
-92,8270229,270321
-121,8270200,270321
-147,8270174,270321
-72,8270249,270321
-115,8270206,270321
-69,8270252,270321
-38,8270283,270321
-75,8270246,270321
-142,8270179,270321
-118,8270203,270321
-43,8270278,270321
-42,8270279,270321
-67,8270254,270321
-71,8270250,270321
58,8270379,270321
34,8270355,270321
50,8270371,270321
-29,8270292,270321
-57,8270264,270321
-74,8270247,270321
-18,8270303,270321
14,8270335,270321
13,8270334,270321
104,8270425,270321
130,8270451,270321
285,8270606,270321
335,8270656,270321
59,8270380,270321
522,8270843,270321
195,8270516,270321
512,8270833,270321
219,8270540,270321
144,8270465,270321
123,8270444,270321
607,8270928,270321
998,8271319,270321
1054,8271375,270321
1014,8271335,270321
1017,8271338,270321
980,8271301,270321
955,8271276,270321
835,8271156,270321
1080,8271401,270321
1523,8271844,270321
2168,8272489,270321
1873,8272194,270321
-2077,8268244,270321
-179,8270142,270321
224,8270545,270321
224,8270545,270321
167,8270488,270321
142,8270463,270321
221,8270542,270321
192,8270513,270321
121,8270442,270321
